session_timestamp,cam_idx,cam_name,frames,total_runtime_s,avg_fps,avg_latency_ms,inference_runs,avg_inference_ms,total_inference_ms,unique_persons,log_csv,roi_dir,avg_proc_rss_bytes,peak_proc_rss_bytes,avg_proc_cpu_percent,avg_gpu_mem_bytes,peak_gpu_mem_bytes,config
1970-01-01 00:00:00,0,Back_left,110,2.602524518966675,42.27,23.6,56,39.5,2213.3,3,logs_video_mode\Back_left\people_with_conf_and_roi_Back_left_20260321.csv,logs_video_mode\roi_images\Back_left,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | Hide
1970-01-01 00:00:00,1,Back_right,110,2.617757558822632,42.02,23.7,56,39.9,2236.4,1,logs_video_mode\Back_right\people_with_conf_and_roi_Back_right_20260321.csv,logs_video_mode\roi_images\Back_right,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | Hide
1970-01-01 00:00:00,2,Front_left,110,2.6085238456726074,42.17,23.7,56,40.3,2258.3,0,logs_video_mode\Front_left\people_with_conf_and_roi_Front_left_20260321.csv,logs_video_mode\roi_images\Front_left,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | Hide
1970-01-01 00:00:00,3,Front_right,110,2.623760223388672,41.92,23.8,56,40.5,2266.3,2,logs_video_mode\Front_right\people_with_conf_and_roi_Front_right_20260321.csv,logs_video_mode\roi_images\Front_right,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | Hide

1970-01-01 00:00:00,0,Back_left,106,2.6146132946014404,40.54,24.6,54,41.3,2231.0,3,logs_video_mode\Back_left\people_with_conf_and_roi_Back_left_20260321.csv,logs_video_mode\roi_images\Back_left,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | Hide,yolo26
1970-01-01 00:00:00,1,Back_right,114,2.620593547821045,43.5,23.0,58,38.5,2234.5,1,logs_video_mode\Back_right\people_with_conf_and_roi_Back_right_20260321.csv,logs_video_mode\roi_images\Back_right,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | Hide,yolo26
1970-01-01 00:00:00,2,Front_left,108,2.6046218872070312,41.46,24.1,55,41.0,2253.6,0,logs_video_mode\Front_left\people_with_conf_and_roi_Front_left_20260321.csv,logs_video_mode\roi_images\Front_left,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | Hide,yolo26
1970-01-01 00:00:00,3,Front_right,106,2.5970041751861572,40.82,24.4,54,41.9,2264.9,2,logs_video_mode\Front_right\people_with_conf_and_roi_Front_right_20260321.csv,logs_video_mode\roi_images\Front_right,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | Hide,yolo26

1970-01-01 00:00:00,0,Back_left,58669,886.5281157493591,66.18,15.1,29335,23.1,677117.3,4,logs_video_mode\Back_left\people_with_conf_and_roi_Back_left_19700101.csv,logs_video_mode\roi_images\Back_left,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | Hide,yolov8s
1970-01-01 00:00:00,1,Back_right,58669,886.6050601005554,66.17,15.1,29335,23.1,676958.9,3,logs_video_mode\Back_right\people_with_conf_and_roi_Back_right_19700101.csv,logs_video_mode\roi_images\Back_right,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | Hide,yolov8s
1970-01-01 00:00:00,2,Front_left,58669,886.0810108184814,66.21,15.0,29335,23.6,692468.6,8,logs_video_mode\Front_left\people_with_conf_and_roi_Front_left_19700101.csv,logs_video_mode\roi_images\Front_left,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | Hide,yolov8s
1970-01-01 00:00:00,3,Front_right,58669,886.0890121459961,66.21,15.0,29335,23.6,693344.1,8,logs_video_mode\Front_right\people_with_conf_and_roi_Front_right_19700101.csv,logs_video_mode\roi_images\Front_right,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | Hide,yolov8s

1970-01-01 00:00:00,0,Back_left,58669,915.7687251567841,64.07,15.6,29335,23.3,682403.7,4,logs_video_mode\Back_left\people_with_conf_and_roi_Back_left_19700101.csv,logs_video_mode\roi_images\Back_left,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | Hide,yolov8s
1970-01-01 00:00:00,1,Back_right,58669,915.9561023712158,64.05,15.6,29335,23.3,683637.7,3,logs_video_mode\Back_right\people_with_conf_and_roi_Back_right_19700101.csv,logs_video_mode\roi_images\Back_right,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | Hide,yolov8s
1970-01-01 00:00:00,2,Front_left,58669,915.8339290618896,64.06,15.6,29335,24.0,703026.9,8,logs_video_mode\Front_left\people_with_conf_and_roi_Front_left_19700101.csv,logs_video_mode\roi_images\Front_left,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | Hide,yolov8s
1970-01-01 00:00:00,3,Front_right,58669,915.360570192337,64.09,15.5,29335,24.0,705223.4,8,logs_video_mode\Front_right\people_with_conf_and_roi_Front_right_19700101.csv,logs_video_mode\roi_images\Front_right,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | Hide,yolov8s
1970-01-01 00:00:00,0,Back_left,9454,177.45425415039062,53.28,18.7,4728,23.9,113148.7,7,logs_video_mode\Back_left\people_with_conf_and_roi_Back_left_19700101.csv,logs_video_mode\roi_images\Back_left,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | show,yolov8s
1970-01-01 00:00:00,1,Back_right,9472,177.4685983657837,53.37,18.7,4737,25.1,119057.6,2,logs_video_mode\Back_right\people_with_conf_and_roi_Back_right_19700101.csv,logs_video_mode\roi_images\Back_right,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | show,yolov8s
1970-01-01 00:00:00,2,Front_left,9482,177.47408270835876,53.43,18.7,4742,28.2,133489.5,3,logs_video_mode\Front_left\people_with_conf_and_roi_Front_left_19700101.csv,logs_video_mode\roi_images\Front_left,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | show,yolov8s
1970-01-01 00:00:00,3,Front_right,9482,177.48135900497437,53.43,18.7,4742,27.4,130167.5,1,logs_video_mode\Front_right\people_with_conf_and_roi_Front_right_19700101.csv,logs_video_mode\roi_images\Front_right,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | show,yolov8s
1970-01-01 00:00:00,0,Back_left,27,2.1585490703582764,12.51,41.9,14,71.9,1006.7,0,logs_video_mode\Back_left\people_with_conf_and_roi_Back_left_20260328.csv,logs_video_mode\roi_images\Back_left,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | hide,yolov8s
1970-01-01 00:00:00,1,Back_right,29,2.1730964183807373,13.35,38.5,15,66.2,993.0,0,logs_video_mode\Back_right\people_with_conf_and_roi_Back_right_20260328.csv,logs_video_mode\roi_images\Back_right,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | hide,yolov8s
1970-01-01 00:00:00,2,Front_left - Trim,29,2.1951773166656494,13.21,36.8,15,65.6,984.0,0,logs_video_mode\Front_left_-_Trim\people_with_conf_and_roi_Front_left_-_Trim_20260328.csv,logs_video_mode\roi_images\Front_left_-_Trim,0,0,0.0,0,0,threaded_video_mode.py | gpu | PC roi loaded | Monitor roi loaded | hide,yolov8s
